,Tweet,User,retweet_counts,Like_count,Verfication
1814,"when you dont have mind to think
then supports to them who is fighting for you &amp; future #BycottAnnahazare #RakeshTikait #gazipurborder #FarmerTikaitVsModiDakait #GodiMediaHataoDeshBachao
#FarmersProtest #KisanAandolan #FarmersProstests @INCIndia @RahulGandhi @priyankagandhi @nsui",1260203348076007424,1,14648,False
1815,"Twitter suspends over 550 accounts, flags tweets over Republic Day violence during FARMERS' tractor rally. 
Do visit our website for more info.
#twitter #farmersprotest #android #mobile #techie #gadget #tablet #entertainment #techlover #gadgetstore #mobileupdate #DailyTechSuggest https://t.co/nZWs00BNbf",1291452062698483712,0,50,False
1816,"The #FarmersProtest shows us how impoverished our models of development can be. If sustainable food systems are supposed to be rewarding for entire ecosystems and populations, those rewards must encompass justice for farmers, #labourers &amp; other producers:

https://t.co/r9iqjOPG3X",890285705309683712,0,360,False
1817,#Breaking #NewsUpdate #IndiaVsAnarchists | A policeman has been Attacked by Sword by Alleged Farmer at Singhu Border. Our Police are putting themselves at risk. It is a selfless act. I pray they return safely to their families after #FarmersProtest #Salute2DelhiPolice #UPPolice,4024222880,1,40622,False
1818,"Scuffle breaks out at Singhu border where farmers are protesting against farm laws 
#FarmersProtest #FarmLaws #TV9News https://t.co/LCn7yLEv3z",346406417,1,24,True
1819,"Farmers also being mobilised in Haryana to join #FarmersProtest in Delhi. 

After #RakeshTikait made an appeal, more farmers coming in from Western UP and Haryana, headed towards #ghazipurborder 

Situation changing from what it was just a few hours ago.
#राकेश_टिकैत_हीरो_है",931763529882910720,1,7426,False
1820,Wow.. new dirty tactics at play now. Using so called 'locals' to throw stones at farmers. What a farce man what a farce. THEY ARE NOT LOCALS BY ANY CHANCE. HOW DID POLICE ALLOW THIS TO HAPPEN ??!! POLICE IS NOT DOING ANYTHING LITERALLY !!!! #FarmersProtest,60282284,3,57234,False
1821,"Law without justice is a wound without a cure.

Take back these unjust Laws.

#FarmersProtest

#FarmerTikaitVsModiDakait

 08:28:11",1309302936317636608,1,1961,False
1822,"#Breaking #NewsUpdate #IndiaVsAnarchists | Locals have reached in large numbers at Singhu Border with Tricolor. 

Our Police are putting themselves at risk. It is a selfless act. I pray they return safely to their families after #FarmersProtest 

#Salute2DelhiPolice #UPPolice",4024222880,0,40622,False
1823,Policemen attacked with sword by farmer at Singhu border. #FarmersProtest,1351847521056821249,0,0,False
1824,"#EditorsGuild of #india condemns FIRs against top TV anchor #RajdeepSardesai and other senior #journos on reporting of #farmersprotest , to *stifle media* 

Editors Guild of India (@IndEditorsGuild) Tweeted:
The Editors Guild of In…https://t.co/Cl3QMEhGCA https://t.co/OPOpelG8GQ",1166634602,0,404,False
1825,"#FarmerTikaitVsModiDakait 
@BJPGovt instead of pressing stop button you guys mistakenly have pressed accelerator.. now watch the show and crowd over there.. we are united again #FarmersProtest #ModiYouCantFailFarmers #मोदी_कायर_है",1333306925522436097,1,43,False
1826,@AbhaySChautala #KisanAndolan #FarmersProtest ab kis baat ka wait kar rhe h itne time se peacefully bethe the and ab ye sb hone baad bhi #BJP 👎 #NarendraModi chup h man ki baat ni bta rhe na hi world tour pr h... 56 inch ka sina rkh k dar rhe h apne hi desh ki janta se..🤣,380259502,0,350,False
1827,😢 Indian government is heartless. #IndiaVsPMModi #OurFarmersOurPride #FarmersProtest #ਸਤਿਨਾਮ_ਵਾਹਿਗੁਰੂ https://t.co/Kvpvb533Le,515780214,0,2998,False
1828,"Power Of People ✊🙏
#FarmersStandingFirm
#FarmersProtest #FarmersProstest #farmersrprotest https://t.co/9zF8OVe8Mp",3023464767,0,16879,False
1829,Farmers started their protest yet again.................#FarmersProtest https://t.co/637Gl3D4yl,2997214796,0,55,False
1830,"The politicians on the other side are liars. They serve the devil. They have nothing to stand for. They will leave. They will bow.

#FarmersProtest  #FarmersStandingFirm 
#FarmerTikaitVsModiDakait",1286803940411969536,0,225,False
1831,"The farmers think they are related to the earth. They will not leave that piece of earth they think their own. That is also how they are looking at the protest sites. They won’t leave. Be a they don’t think in the terms of leaving, only living.
#FarmersProtest",1286803940411969536,0,225,False
